Time,Healthy Epithelial Cells,Infected Epithelial Cells,Macrophages
0.0,250,20,10
60.0,250,18,10
120.0,247,20,10
180.0,247,20,10
240.0,247,19,10
300.0,247,19,10
360.0,246,21,10
420.0,245,23,10
480.0,245,23,10
540.0,244,23,10
600.0,243,25,10
660.0,242,27,10
720.0,239,31,10
780.0,237,33,10
840.0,232,39,10
900.0,230,41,10
960.0,228,44,10
1020.0,228,45,10
1080.0,227,45,10
1140.0,224,50,10
1200.0,222,47,10
1260.0,219,51,10
1320.0,219,52,10
1380.0,217,54,10
1440.0,213,58,10
1500.0,208,62,10
1560.0,206,64,10
1620.0,204,67,10
1680.0,203,67,10
1740.0,203,66,10
1800.0,203,63,10
1860.0,200,61,10
1920.0,200,60,10
1980.0,198,66,10
2040.0,196,70,10
2100.0,193,76,10
2160.0,188,83,10
2220.0,180,91,10
2280.0,179,94,10
2340.0,170,103,10
2400.0,169,104,10
2460.0,168,109,10
2520.0,165,108,10
2580.0,165,109,10
2640.0,165,114,10
2700.0,165,118,10
2760.0,161,126,10
2820.0,160,126,10
2880.0,159,126,10
